ID,Nom,Prénom,Entreprise,Mail,Téléphone,Téléphone 2,VIP,Carte fidélité,ID externe,Info client,Info interne,Points de fidélité,CA,Solde,Nombre de commandes,Date de la dernière commande,Date d'inscription,Dernier restaurant,Date de naissance,Statut,Optin SMS,Optin Mail
Z001,Dupont,Jean,,jean.dupont@example.com,0612345678,0600000001,Non,,,"Allergie: noix, gluten",Habitue du jeudi,120,450.50,0,12,01/07/2026,15/01/2024,Resto Centre,12/05/1985,1,Non,Non
Z002,Martin,Alice,,,0623456789,0600000002,Non,,,,,45,120.00,0,3,10/06/2026,20/03/2025,Resto Nord,03/11/1990,1,Oui,Non
Z003,Bernard,Paul,,paul.bernard@example.com,,0600000003,Non,,,,,10,50.00,0,1,,05/09/2025,Resto Sud,22/02/1978,1,Non,Oui
Z004,Petit,Claire,,,,0600000004,Non,,,,,0,0,0,0,,01/01/2026,,,1,Non,Non
Z005,,,,anonyme@example.com,0611112222,0600000005,Non,,,,,5,20.00,0,2,,12/12/2025,,,1,Non,Non
Z006,Durand,Marc,,marc.durand@example.com,0699999999,0600000006,Non,,,,,8,30.00,0,1,,01/02/2026,,,1,,
Z007,Lemoine,Sophie,,sophie.lemoine@example.com,0688888888,0600000007,Non,,,,,3,15.00,0,1,,01/03/2026,,31/13/2026,1,Non,Non
Z008,Roux,Nicolas,,nicolas.roux@example.com,0677777777,0600000008,Non,,,,,2,10.00,0,1,,01/04/2026,,19/06/1995,-1,Non,Non
Z009,Simon,Julie,,julie.simon[at]example.com,0666666666,0600000009,Non,,,,,1,5.00,0,1,,01/05/2026,,14/07/1992,1,Non,Non
Z010,Petitjean,Marc,Societe Anonyme,contact@societe-anonyme.example.com,0655555555,0600000010,Non,,,,,0,0,0,0,,01/06/2026,,30/04/1980,1,Non,Non
